CXC_g,CRE_g,CN_g,CNumerical_Error_g,CXC_r,CRE_r,CN_r,CNumerical_Error_r,CXC_W1-fixBA,CRE_W1-fixBA,CN_W1-fixBA,CNumerical_Error_W1-fixBA,CXC_W2,CRE_W2,CN_W2,CNumerical_Error_W2,CXC_W3-fixBA,CRE_W3-fixBA,CN_W3-fixBA,CNumerical_Error_W3-fixBA,Vcosmic,logmstar,logsfr,Size Ratio,NUV_r,W1_W3,cluster_member,rich_group_memb,poor_group_memb,filament_member,pure_field,CRE_g_unscaled,CRE_r_unscaled,CRE_W1-fixBA_unscaled,CRE_W2_unscaled,CRE_W3-fixBA_unscaled,CN_g_unscaled,CN_r_unscaled,CN_W1-fixBA_unscaled,CN_W2_unscaled,CN_W3-fixBA_unscaled
355.6027,0.2143078686085975,-0.21058000211025552,False,355.9666,0.15560565493913103,-0.3023014765470008,False,34.0445,-0.020236870238119313,-0.2751598731042752,False,34.0082,0.13557181368927354,-0.2557817729234949,False,33.9748,-0.3057990796692097,0.07994246379373908,False,3054.469309975978,9.211108347803926,-1.9767256943023501,0.7849500442645757,3.4638970296020517,-0.3925188348315434,False,True,False,False,False,3.0772135297081875,2.9248570711231885,2.1756716360600246,2.4655227175606726,1.7077935470304975,0.9728,1.0195,0.9536,0.7659,0.9045
171.9833,-0.8707427306361232,1.264518851202593,False,170.9463,-1.021990044754635,-0.653966354403567,False,16.7621,-1.0702607202775107,2.9567473332126446,False,16.7568,-0.8298789698243858,0.5288493238646851,False,16.9009,-1.2534655598001587,1.7876441860809336,False,2734.63261554712,9.400534687229507,-1.1451159041773773,0.5552699228791774,4.903592501831055,0.9407322868041987,False,False,False,False,True,1.2506797340669402,1.006009485162844,0.9007873724168596,1.2165039114119498,0.5001801348124465,1.5914,0.877,2.3409,1.0051,2.2295
594.1429,0.47166683098096546,-0.5284440130164998,False,593.8385,0.44678753424146345,-0.2911962698778462,False,57.0827,0.31373874109338185,0.8484246764572113,False,57.1119,0.33205706555695574,0.8322706301059328,False,56.8496,-0.17627889477937228,2.3384907642737995,False,2182.2222988363314,9.543198874111962,-1.0654351547889653,0.725579199098262,2.8480895474243173,0.6296021040527346,False,False,True,False,False,3.5104420286477787,3.399326913633632,2.581167426761506,2.719718766602598,1.8728413942481352,0.8395,1.024,1.4359,1.0976,2.6569
263.9245,0.46363087775576195,0.8002418600289567,False,264.2227,0.5192899766874252,0.8768246893468044,False,25.5837,0.44621903946209057,0.7403294595804687,False,25.5897,0.8010542042464803,0.6922047946842972,False,28.6543,-0.16404525498357697,-1.0171108992333253,False,3350.1272228252847,9.144309984826219,-1.07105322129841,0.6887010499900943,2.4006314147949226,-0.14884616308593657,False,False,False,False,True,3.496914604068461,3.5174668972458694,2.742018104226291,3.3264677135776557,1.8884307474724948,1.3967,1.4973,1.3895,1.0549,0.0533
657.773,0.2884039772668621,0.6483443544421016,False,657.5801,0.27470228836493565,0.20977194208624445,False,62.9135,0.47401865445743213,1.3511606204658548,False,62.8887,0.3096130019935233,2.2365372376938084,False,62.4258,0.15327281949339405,-0.9689086015627282,False,1962.9036801641967,10.56691047987587,-0.7955085361644774,0.8260010956949381,3.6251004650878897,0.4272305067626956,False,False,True,False,False,3.201944161334061,3.118920523974229,2.7757709486893667,2.6906825298976043,2.292789845015595,1.333,1.227,1.6517,1.5257,0.0907
752.2679,-1.1615903131928127,1.4319161022574947,False,752.6339,-1.1679365141063351,2.2768210767715753,False,71.842,-1.3350544449119313,0.5089963769110605,False,71.8139,-1.1949213680252642,0.15260690412553657,False,71.8714,-1.169308002982084,0.5292291206913363,False,1386.7943368200783,8.94924060512871,-2.594242198745988,1.0485658831140825,4.418145361083985,-0.06089160354980372,False,False,False,False,True,0.7610777382797045,0.7681952417278759,0.5792886249024868,0.7442428410597529,0.6074222885488185,1.6616,2.0646,1.2902,0.8904,1.2531
377.5303,1.7134878698795288,1.6431895558680967,False,377.5421,1.1482318055343161,1.3281896448553367,False,35.9919,0.58422832174593,0.10550302425908144,False,35.831,1.0382264572956188,0.8503118969635207,False,35.8197,1.6675009128776974,-0.08966776009531355,False,2785.4732316881987,8.927429461273258,-0.6746761271241947,1.4511961639960675,1.649881177246094,0.28203648047607466,False,False,False,False,True,5.600877347761387,4.542303783374258,2.9095817859595714,3.6333011735671223,4.222373926617357,1.7502,1.6802,1.117,1.1031,0.7729
238.8805,-1.3034714604422455,2.331616712271943,False,238.9841,-1.2841114916113119,1.827430380226448,False,22.9908,-1.387425694410973,1.1950748547171102,False,22.9336,-1.2528058227217453,-0.03042994872053532,False,22.6208,-1.3124755497369,0.436691019815698,False,1311.261430261946,8.426177711461136,-2.298974878926766,0.8240872234183884,2.8270515360107407,0.049008088698730745,False,False,False,False,True,0.5222402954951652,0.5788925165290721,0.5157021817458349,0.6693568150352623,0.4249835790657303,2.0389,1.8825,1.5847,0.8346,1.1813
292.436,-0.13656444610715693,-1.2829239308764826,False,293.4762,-0.11547664792230947,-1.511288309262311,False,28.3489,0.07030640510579002,-0.9132478020383229,False,28.3828,0.14006827203012742,-0.8111247691034231,False,28.7148,0.04353743669380929,-0.4377811451441976,False,3363.474287558093,9.476678072975885,-0.31577700239665624,0.9419625102738818,1.6157557271728518,0.6436734993139659,False,False,False,False,True,2.4865681337890484,2.4831387270620517,2.285604564640961,2.47133985617063,2.152953813202642,0.5231,0.5296,0.6797,0.5966,0.5028
666.6,0.5059044078277688,-0.30810916974765545,False,666.6661,0.402020240178712,-0.40619685449620385,False,63.7942,0.23528574240661113,-0.4473201430868458,False,63.8107,0.2781147010149862,-0.332211139792912,False,63.6424,0.16870927658013976,-0.45904686470475514,False,2317.0519221626405,9.800361337543597,-0.9721611904858458,0.9302255285563149,3.2411998065795906,1.1088025183007808,False,True,False,False,False,3.568076291266573,3.3263803037193584,2.485913882322844,2.649932684379074,2.3124605551292485,0.9319,0.9774,0.8797,0.7426,0.4863
