VFID,RA,DEC,objname,group_flag,SNR_phot,WISE_AGN_flag,kauffman_AGN_flag,preGALFIT_sample_flag,Re_W1,Re_W1_err,Re_W3,Re_W3_err,size_ratio_px,bad_model_flag,virgowise_sample_flag,axis_ratio,t_type,logM200_model
b'VFID5516',170.03045400000002,7.3358169,b'PGC034686',False,2.8975685,False,False,False,1.4758,0.0454,2.0633,217.9303,1.3980891719745223,True,False,0.44,5.0,
b'VFID5517',184.366032,7.3270912,b'SDSSJ121727.85+071937.6',False,1.7090467,False,False,False,5.8019,0.385,14.6011,108.7967,2.516606628862959,False,False,0.14,,
b'VFID5518',187.127001,7.3247643,b'PGC041027',False,-0.033875216,False,True,False,8.5231,0.3256,252.6447,4386.4604,29.642348441294835,False,False,0.69,-5.0,
b'VFID5519',186.1169205,7.3167467,b'NGC4365',False,70.694954,False,False,False,44.0315,0.3705,10.1297,0.3181,0.23005575553864846,False,False,0.75,-4.8,14.004205768746456
b'VFID5520',190.386459,7.3148755,b'NGC4612',False,17.975996,False,False,False,9.0244,0.0794,73.9061,101.2565,8.189586011258365,True,False,0.81,-2.0,13.147253416888743
b'VFID5521',143.092257,7.3022946,b'SDSSJ093222.16+071808.2',False,-1.0407321,False,False,False,40.6224,329.37,0.1795,160339472.0,0.004418744338099177,True,False,0.59,10.0,
b'VFID5522',183.249363,7.298994,b'PGC091181',False,2.9894946,False,False,False,4.0283,0.0664,1.6043,1.2358,0.39825732939453373,False,False,0.17,7.4,
b'VFID5523',271.09418850000003,7.2802764,b'PGC061359',False,0.0,False,False,False,0.0,0.0,0.0,0.0,,False,False,0.0,-5.0,12.294626986839742
b'VFID5524',217.6639755,7.2750892,b'NGC5645',False,156.02571,False,False,True,9.8228,0.0533,9.8802,0.2435,1.005843547664617,False,True,0.66,6.6,9.834273169494715
b'VFID5525',131.5518855,7.267076,b'SDSSJ084612.45+071601.4',False,5.943133,False,False,False,0.7903,0.0601,0.008826,3.821,0.011167910919903835,True,False,0.64,9.0,
b'VFID5526',186.7972005,7.263,b'UGC07557',False,10.675883,False,False,False,27.4094,2.0152,8.3762,77953.8047,0.30559589046093677,True,False,0.81,8.6,14.275036701761241
b'VFID5527',177.19541700000002,7.2580567,b'AGC219245',False,-0.8644215,False,False,False,3.4931,0.1557,27.0209,1708.8619,7.735507142652658,True,False,0.4,,
b'VFID5528',185.413686,7.2536835,b'PGC039966',False,0.21453589,False,False,False,4.084,0.7363,58.4823,59702960128.0,14.319857982370227,True,False,0.41,10.0,
b'VFID5529',189.222507,7.2466697,b'NGC4570',False,60.81722,False,False,False,6.7692,0.0107,6.2915,0.3297,0.9294303610470958,False,False,0.35,-1.9,13.619296789031335
b'VFID5530',186.48379949999998,7.2347151,b'PGC040615',False,-1.4872671,False,False,False,3.6694,0.3278,1073.8926,19723.4355,292.6616340546138,False,False,0.47,-4.0,14.057519754198543
b'VFID5531',183.29453999999998,7.2195271,b'PGC038980',False,-0.17842917,False,False,False,2.8582,0.1382,127.5652,214546.8594,44.63130641662585,True,False,0.34,10.0,
b'VFID5532',186.4272375,7.2171379,b'IC3322A',False,274.82172,False,False,True,13.1369,0.0235,0.0,0.0,0.0,False,False,0.12,6.0,14.130394885792755
b'VFID5533',189.5770995,7.2171001,b'PGC042225',False,1.1412852,False,False,False,5.8976,0.1774,0.01,21990000000.0,0.0016956049918610962,True,False,0.58,-5.0,
b'VFID5534',137.6743785,7.2067028,b'NGC2777',False,79.4445,False,False,True,3.374,0.0113,3.2206,0.0386,0.954534676941316,False,True,0.58,2.8,
b'VFID5535',183.4599615,7.2009018,b'NGC4191',False,34.164486,False,True,False,3.8768,0.0198,5.1826,0.2716,1.3368241848947586,False,False,0.7,-1.8,13.423747844190675
b'VFID5536',189.011856,7.2002653,b'PGC042008',False,0.41607404,False,False,False,4.8461,0.0842,23.7358,514.2333,4.897917913373641,False,False,0.74,-5.0,
b'VFID5537',128.075418,7.1990849,b'PGC1316080',False,2.4801943,False,False,False,2.667,0.6137,35.7976,1428.6469,13.422422197225348,True,False,0.54,,
b'VFID5538',233.5395825,7.1916673,b'AGC258420',False,0.25605664,False,False,False,1.2836,0.0,7.4585,5775.8374,5.810610782175132,True,False,0.86,,
b'VFID5539',184.2912045,7.1915561,b'NGC4235',False,109.083534,False,True,False,11.4839,0.0769,5.4303,0.7176,0.47286200680953333,True,False,0.35,1.0,13.318636622297461
b'VFID5540',137.61984,7.1882992,b'PGC213577',False,4.472096,False,False,False,4.2032,0.0877,33429.7148,2043490.875,7953.396174343358,True,False,0.23,10.0,
b'VFID5541',185.952129,7.1866572,b'IC3259',False,55.125793,False,False,False,8.6565,0.0347,6.0356,0.1495,0.6972332929012881,False,False,0.52,8.0,
b'VFID5542',198.1387095,7.1842848,b'UGC08285',False,4.3261924,True,False,False,7.4708,0.133,2.477,0.4172,0.3315575306526744,False,False,0.39,7.8,
b'VFID5543',186.0577005,7.1750998,b'PGC040338',False,-1.9531728,False,False,False,6.1195,0.3925,22793.1562,0.0,3724.6762317182774,True,False,0.87,-5.0,
b'VFID5544',166.7359245,7.1739099,b'NGC3526',False,68.12307,False,False,True,10.8977,0.0399,7.9006,0.1292,0.7249786652229369,False,True,0.2,5.3,12.316221018993371
b'VFID5545',185.56145700000002,7.1670979,b'PGC040059',True,1.5393643,False,False,False,1.4976,0.0288,1.8987,563.1548,1.2678285256410255,True,False,0.91,-5.0,
b'VFID5546',188.6646,7.1601572,b'IC3521',False,121.67726,False,False,False,7.7095,0.0359,6.9207,1.567,0.8976846747519294,True,False,0.43,9.8,
b'VFID5547',217.702863,7.1571947,b'SDSSJ143048.66+070925.9',False,-0.94017124,False,True,False,1.5859,0.0952,3875.4697,0.0,2443.703701368308,True,False,0.5,10.0,
