Week of:,Week Number,World,Data,,,,,,,,Min,Max,Average,Data Points,Observed Variance,Prev 1W Average,Prev 2W Average,Prev 3W Average,Prev 4W Average,Prev 5W Average,Prev 6W Average,Prev 7W Average,Prev 8W Average,Prev 9W Average,Prev 10W Average
,3,498,25,21,29,25,21,,,,21,29,24.2,5,8,16.25,10,,,,,,,,
,3,499,18,9,,,,,,,9,18,13.5,2,9,37,15,,,,,,,,
,3,500,14,19,10,10,,,,,10,19,13.25,4,9,34,21.2,,,,,,,,
,3,501,,,,,,,,,,,,0,,18.5,34,,,,,,,,
,3,530 (750),17,,,,,,,,17,17,17,1,0,,33,,,,,,,,
,3,537,25,33,,,,,,,25,33,29,2,8,8,11,,,,,,,,
,3,544,36,24,31,,,,,,24,36,30.33333333,3,12,30,,,,,,,,,
,3,545,3,2,,,,,,,2,3,2.5,2,1,16,33.75,,,,,,,,
,3,546,10,14,,,,,,,10,14,12,2,4,,30.5,,,,,,,,
,3,547,,,,,,,,,,,,0,,8,8.8,,,,,,,,
,3,552,8,,,,,,,,8,8,8,1,0,31,20,,,,,,,,
,3,553,16,19,22,,,,,,16,22,19,3,6,15,11,,,,,,,,
,3,554,12,,,,,,,,12,12,12,1,0,32,4,,,,,,,,
,3,555,26,37,,,,,,,26,37,31.5,2,11,1.333333333,31,,,,,,,,
,3,561 (pvp),,,,,,,,,,,,0,,15,,,,,,,,,
,3,571,25,22,,,,,,,22,25,23.5,2,3,28,34.8,,,,,,,,
,3,575,20,24,,,,,,,20,24,22,2,4,31.66666667,26,,,,,,,,
,3,577 (pvp),,,,,,,,,,,,0,,,,,,,,,,,
28/Feb/24,4,301,27,34,35,,,,,,27,35,32,3,8,,30,16,,,,,,,
,4,308,,,,,,,,,,,,0,,25.75,,,,,,,,,
,4,316,23,18,31,,,,,,18,31,24,3,13,15,35.5,23,,,,,,,
,4,326,0,6,,,,,,,0,6,3,1,6,10.33333333,30,22,,,,,,,
,4,335,21,,,,,,,,21,21,21,1,0,10.66666667,16,17.33333333,,,,,,,
,4,372 (750),,,,,,,,,,,,0,,20,38,24,,,,,,,
,4,379,,,,,,,,,,,,0,,4.5,20,21,,,,,,,
,4,380,,,,,,,,,,,,0,,,7.333333333,23,,,,,,,
,4,381 (500),19,,,,,,,,19,19,19,1,0,16,34,9,,,,,,,
,4,382,0,,,,,,,,0,0,0,0,0,20.5,10.66666667,14,,,,,,,
,4,383,15,24,,,,,,,15,24,19.5,2,9,20.75,18,27,,,,,,,
,4,384,26,39,30,,,,,,26,39,31.66666667,3,13,23.5,,6.333333333,,,,,,,
,4,393 (750),26,,,,,,,,26,26,26,1,0,8,24,,,,,,,,
,4,397,,,,,,,,,,,,0,,4.333333333,20.6,9.6,,,,,,,
,4,398,35,32,35,,,,,,32,35,34,3,3,20.66666667,35,23.5,,,,,,,
,4,399,15,,,,,,,,15,15,15,1,0,26.75,31.6,26,,,,,,,
,4,413 (500),20,,,,,,,,20,20,20,1,0,13,16,,,,,,,,
,4,414 (750),,,,,,,,,,,,0,,28,18,4,,,,,,,
,4,417,,,,,,,,,,,,0,,29,17,13.66666667,,,,,,,
,4,418,,,,,,,,,,,,0,,4,28,22,,,,,,,
,4,419 (500),,,,,,,,,,,,0,,,34.75,,,,,,,,
,4,427 (500),,,,,,,,,,,,0,,17,21,,,,,,,,
,4,430,27,22,,,,,,,22,27,24.5,2,5,26,9,,,,,,,,
,4,431,14,20,13,19,,,,,13,20,16.5,4,7,22.25,22.5,5,,,,,,,
,4,432 (750),,,,,,,,,,,,0,,,35,,,,,,,,
,4,433,27,,,,,,,,27,27,27,1,0,,13.4,17,,,,,,,
,4,434,15,7,,,,,,,7,15,11,2,8,,30,29.5,,,,,,,
,4,435,10,,,,,,,,10,10,10,1,0,34,15.5,11.5,,,,,,,
,4,436,15,,,,,,,,15,15,15,1,0,20.5,27.5,31,,,,,,,
,4,437,,,,,,,,,,,,0,,36,16.25,15.33333333,,,,,,,
,4,451,15,15,,,,,,,15,15,15,2,0,,32.14285714,8.4,,,,,,,
,4,452,,,,,,,,,,,,0,,26,,16,,,,,,,
,4,453,6,,,,,,,,6,6,6,1,0,32,31.33333333,18,,,,,,,
,4,454,17,,,,,,,,17,17,17,1,0,17.5,32,3.5,,,,,,,
,4,455,33,26,29,,,,,,26,33,29.33333333,3,7,27.5,,29.5,,,,,,,
,4,456,10,,,,,,,,10,10,10,1,0,25,37,21,,,,,,,
,4,468 (500),,,,,,,,,,,,0,,23.66666667,9,14.5,,,,,,,
,4,469,6,,,,,,,,6,6,6,1,0,,22,26.33333333,,,,,,,
,4,475,30,22,,,,,,,22,30,26,2,8,,22.33333333,25.5,,,,,,,
,4,476,36,32,,,,,,,32,36,34,2,4,17,20,29.75,,,,,,,
,4,483,22,,,,,,,,22,22,22,1,0,31.25,15.5,13.4,,,,,,,
,4,497,17,28,,,,,,,17,28,22.5,2,11,18.5,22.5,23.5,,,,,,,
,4,498,,,,,,,,,,,,0,,24.2,16.25,10,,,,,,,
,4,499,21,20,,,,,,,20,21,20.5,2,1,13.5,37,15,,,,,,,
,4,500,,,,,,,,,,,,0,,13.25,34,21.2,,,,,,,
,4,501,4,,,,,,,,4,4,4,1,0,,18.5,34,,,,,,,
,4,530 (750),19,,,,,,,,19,19,19,1,0,17,,33,,,,,,,
,4,537,15,,,,,,,,15,15,15,1,0,29,8,11,,,,,,,
,4,544,,,,,,,,,,,,0,,30.33333333,30,,,,,,,,
,4,545,6,12,,,,,,,6,12,9,2,6,2.5,16,33.75,,,,,,,
,4,546,8,0,,,,,,,0,8,4,1,8,12,,30.5,,,,,,,
,4,547,13,,,,,,,,13,13,13,1,0,,8,8.8,,,,,,,
,4,552,11,21,,,,,,,11,21,16,2,10,8,31,20,,,,,,,
,4,553,0,,,,,,,,0,0,0,0,0,19,15,11,,,,,,,
,4,554,2,,,,,,,,2,2,2,1,0,12,32,4,,,,,,,
,4,555,,,,,,,,,,,,0,,31.5,1.333333333,31,,,,,,,
,4,561 (pvp),,,,,,,,,,,,0,,,15,,,,,,,,
,4,571,3,11,,,,,,,3,11,7,2,8,23.5,28,34.8,,,,,,,
,4,575,17,,,,,,,,17,17,17,1,0,22,31.66666667,26,,,,,,,
,4,577 (pvp),,,,,,,,,,,,0,,,,,,,,,,,
06/Mar/24,5,301,28,26,,,,,,,26,28,27,2,2,32,,30,16,,,,,,
,5,308,13,,,,,,,,13,13,13,1,0,,25.75,,,,,,,,
,5,316,16,15,,,,,,,15,16,15.5,2,1,24,15,35.5,23,,,,,,
,5,326,11,22,,,,,,,11,22,16.5,2,11,3,10.33333333,30,22,,,,,,
,5,335,11,17,23,,,,,,11,23,17,3,12,21,10.66666667,16,17.33333333,,,,,,
,5,372 (750),,,,,,,,,,,,0,,,20,38,24,,,,,,
,5,379,29,39,,,,,,,29,39,34,2,10,,4.5,20,21,,,,,,
,5,380,20,14,15,,,,,,14,20,16.33333333,3,6,,,7.333333333,23,,,,,,
,5,381 (500),34,36,,,,,,,34,36,35,2,2,19,16,34,9,,,,,,
,5,382,14,,,,,,,,14,14,14,1,0,0,20.5,10.66666667,14,,,,,,
,5,383,24,24,32,,,,,,24,32,26.66666667,3,8,19.5,20.75,18,27,,,,,,
,5,384,15,2,,,,,,,2,15,8.5,2,13,31.66666667,23.5,,6.333333333,,,,,,
,5,393 (750),38,,,,,,,,38,38,38,1,0,26,8,24,,,,,,,
,5,397,30,33,40,35,,,,,30,40,34.5,4,10,,4.333333333,20.6,9.6,,,,,,
,5,398,21,19,21,,,,,,19,21,20.33333333,3,2,34,20.66666667,35,23.5,,,,,,
,5,399,21,30,25,,,,,,21,30,25.33333333,3,9,15,26.75,31.6,26,,,,,,
,5,413 (500),,,,,,,,,,,,0,,20,13,16,,,,,,,
,5,414 (750),21,,,,,,,,21,21,21,1,0,,28,18,4,,,,,,
,5,417,29,,,,,,,,29,29,29,1,0,,29,17,13.66666667,,,,,,
,5,418,16,15,12,19,,,,,12,19,15.5,4,7,,4,28,22,,,,,,
,5,419 (500),29,31,,,,,,,29,31,30,2,2,,,34.75,,,,,,,
,5,427 (500),,,,,,,,,,,,0,,,17,21,,,,,,,
,5,430,20,21,25,,,,,,20,25,22,3,5,24.5,26,9,,,,,,,
,5,431,23,25,29,,,,,,23,29,25.66666667,3,6,16.5,22.25,22.5,5,,,,,,
,5,432 (750),35,,,,,,,,35,35,35,1,0,,,35,,,,,,,
,5,433,20,30,,,,,,,20,30,25,2,10,27,,13.4,17,,,,,,
,5,434,26,26,,,,,,,26,26,26,2,0,11,,30,29.5,,,,,,
,5,435,9,14,15,,,,,,9,15,12.66666667,3,6,10,34,15.5,11.5,,,,,,
,5,436,33,41,41,,,,,,33,41,38.33333333,3,8,15,20.5,27.5,31,,,,,,
,5,437,10,15,,,,,,,10,15,12.5,2,5,,36,16.25,15.33333333,,,,,,
,5,451,31,40,,,,,,,31,40,35.5,2,9,15,,32.14285714,8.4,,,,,,
,5,452,20,20,24,28,20,,,,20,28,22.4,5,8,,26,,16,,,,,,
,5,453,21,22,,,,,,,21,22,21.5,2,1,6,32,31.33333333,18,,,,,,
,5,454,17,18,,,,,,,17,18,17.5,2,1,17,17.5,32,3.5,,,,,,
,5,455,15,,,,,,,,15,15,15,1,0,29.33333333,27.5,,29.5,,,,,,
,5,456,22,34,,,,,,,22,34,28,2,12,10,25,37,21,,,,,,
,5,468 (500),,,,,,,,,,,,0,,,23.66666667,9,14.5,,,,,,
,5,469,40,33,,,,,,,33,40,36.5,2,7,6,,22,26.33333333,,,,,,
,5,475,33,25,,,,,,,25,33,29,2,8,26,,22.33333333,25.5,,,,,,
,5,476,29,32,31,32,,,,,29,32,31,4,3,34,17,20,29.75,,,,,,
,5,483,19,14,,,,,,,14,19,16.5,2,5,22,31.25,15.5,13.4,,,,,,
,5,497,29,37,42,,,,,,29,42,36,3,13,22.5,18.5,22.5,23.5,,,,,,
,5,498,7,10,17,11,,,,,7,17,11.25,4,10,,24.2,16.25,10,,,,,,
